2023-05-17 15:25:28.700 [main] INFO  c.m.M.s.MedicalServiceApplication - Example log from MedicalServiceApplication
2023-05-17 15:25:32.216 [restartedMain] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.0"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Amazon.com Inc./17.0.3+6-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, streamFactoryFactory=null, commandListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsCommandListener@182c5099], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@2ee56096]}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsConnectionPoolListener@4435c250], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2023-05-17 15:25:32.238 [cluster-ClusterId{value='6464d5cced4355658901e28a', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:1}] to localhost:27017
2023-05-17 15:25:32.238 [cluster-ClusterId{value='6464d5cced4355658901e28a', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=32665800}
2023-05-17 15:25:32.238 [cluster-rtt-ClusterId{value='6464d5cced4355658901e28a', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:2}] to localhost:27017
2023-05-17 15:25:32.555 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-05-17 15:25:33.160 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-05-17 15:25:33.173 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@35305051, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@33d04b45, org.springframework.security.web.context.SecurityContextPersistenceFilter@38ebfe93, org.springframework.security.web.header.HeaderWriterFilter@2ec1dffc, org.springframework.web.filter.CorsFilter@59452b95, org.springframework.security.web.authentication.logout.LogoutFilter@5ce0f153, com.medicalsystem.Medical.service.security.AuthFilter@1d921fc3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3eac98c9, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1420c745, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@79347079, org.springframework.security.web.session.SessionManagementFilter@1de2b351, org.springframework.security.web.access.ExceptionTranslationFilter@6c3856d5, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@14ecf321]
2023-05-17 15:25:33.362 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-3000"]
2023-05-17 15:25:33.378 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 3000 (http) with context path ''
2023-05-17 15:25:33.392 [restartedMain] INFO  c.m.M.s.MedicalServiceApplication - Started MedicalServiceApplication in 4.289 seconds (JVM running for 5.708)
2023-05-17 15:25:33.923 [RMI TCP Connection(1)-172.18.176.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-17 15:25:33.923 [RMI TCP Connection(1)-172.18.176.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-17 15:25:33.924 [RMI TCP Connection(1)-172.18.176.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-05-17 15:25:33.956 [RMI TCP Connection(2)-172.18.176.1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:3}] to localhost:27017
2023-05-17 15:26:00.139 [http-nio-3000-exec-3] INFO  c.m.M.s.Implservices.UserService - start of UserService.addUser with user id ahmed1234567
2023-05-17 15:26:00.269 [http-nio-3000-exec-3] INFO  c.m.M.s.Implservices.UserService - end of UserService.addUser with user id 6464d5e8ed4355658901e28b
2023-05-17 15:27:34.475 [http-nio-3000-exec-8] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Cannot deserialize value of type `com.medicalsystem.Medical.service.entity.DiagnosesResult$status` from String "No": not one of the values accepted for Enum class: [COMPLETE, INPROGRESS, PENDNIG]; nested exception is com.fasterxml.jackson.databind.exc.InvalidFormatException: Cannot deserialize value of type `com.medicalsystem.Medical.service.entity.DiagnosesResult$status` from String "No": not one of the values accepted for Enum class: [COMPLETE, INPROGRESS, PENDNIG]<EOL> at [Source: (org.springframework.util.StreamUtils$NonClosingInputStream); line: 3, column: 9] (through reference chain: com.medicalsystem.Medical.service.entity.DiagnosesResult["state"])]
